Wall time,Step,Value
1715869076.69586,0,-0.00017935594951268286
1715869080.8574395,1,-0.0004435801529325545
1715869084.819301,2,-0.0008149010827764869
1715869088.8780637,3,-0.0008585052564740181
1715869092.7530296,4,-0.0010922402143478394
1715869096.8330572,5,-0.0010923922527581453
1715869100.7296677,6,-0.0009119955357164145
1715869104.5774045,7,-0.0008115604869090021
1715869108.4834266,8,-0.0007488697301596403
1715869112.3931627,9,-0.000620609032921493
1715869116.3163726,10,-0.0006737039657309651
1715869120.1921504,11,-0.0005919894319958985
1715869124.1216397,12,-0.0005875412607565522
1715869128.2020416,13,-0.0006057340651750565
1715869132.1147401,14,-0.000648119137622416
1715869136.0728705,15,-0.0005371791194193065
1715869139.9844892,16,-0.0006420325953513384
1715869143.8532145,17,-0.0006204898236319423
1715869147.7086787,18,-0.0006144345970824361
1715869151.585602,19,-0.0006558866589330137
1715869155.513888,20,-0.000954658433329314
1715869159.6484866,21,-0.000954862916842103
1715869163.561832,22,-0.0008760552736930549
1715869167.4243636,23,-0.0008549663471058011
1715869171.322156,24,-0.0008930383482947946
1715869175.1688986,25,-0.0009885778417810798
1715869179.0603683,26,-0.0007837238954380155
1715869182.9850712,27,-0.0009406558237969875
1715869187.079077,28,-0.0010069471318274736
1715869191.018986,29,-0.0008055759826675057
1715869194.898564,30,-0.0008835222106426954
1715869198.7493024,31,-0.0010701741557568312
1715869202.660874,32,-0.0009676213376224041
1715869206.697083,33,-0.0010824494529515505
1715869210.6485415,34,-0.0009624994709156454
1715869214.6225657,35,-0.0010090305004268885
1715869218.9414864,36,-0.001095095882192254
1715869222.9665596,37,-0.0012635962339118123
1715869226.874743,38,-0.001020256313495338
1715869230.7976105,39,-0.001064550713635981
1715869234.680547,40,-0.0010640841210260987
1715869238.5968595,41,-0.0012997386511415243
1715869242.4785998,42,-0.001293887384235859
1715869246.4755106,43,-0.0012162905186414719
1715869250.5208712,44,-0.0013778269058093429
1715869254.5208378,45,-0.001480749691836536
1715869258.4679332,46,-0.0015714260516688228
1715869262.3892088,47,-0.0015298174694180489
1715869266.3165646,48,-0.0014130104100331664
1715869270.2637603,49,-0.0015514791011810303
1715869274.199133,50,-0.0016198314260691404
1715869278.3974097,51,-0.0014397185295820236
1715869282.3873003,52,-0.0016954769380390644
1715869286.3591833,53,-0.0015193973667919636
1715869290.2810335,54,-0.001800816273316741
1715869294.2268703,55,-0.0017419911455363035
1715869298.2107391,56,-0.001372636528685689
1715869302.147763,57,-0.001785710803233087
1715869306.174084,58,-0.00193631777074188
1715869310.268371,59,-0.001967698335647583
1715869314.2165926,60,-0.002583892084658146
1715869318.1737144,61,-0.0021918960846960545
1715869322.1966805,62,-0.0019197054207324982
1715869326.111246,63,-0.0017024863045662642
1715869330.035231,64,-0.002163550816476345
1715869333.9752789,65,-0.002351467963308096
1715869338.1497002,66,-0.0019654780626296997
1715869342.0771687,67,-0.0024765520356595516
1715869346.0399384,68,-0.0023861597292125225
1715869350.0884802,69,-0.0024061843287199736
1715869354.2157154,70,-0.003231560345739126
1715869358.3032424,71,-0.003425678238272667
1715869362.3539948,72,-0.002532713580876589
1715869366.5880976,73,-0.002502158284187317
1715869370.809341,74,-0.002887997543439269
1715869374.8637145,75,-0.002312099328264594
1715869378.9415772,76,-0.0036292425356805325
1715869383.0163953,77,-0.002150860382243991
1715869387.178625,78,-0.0017892681062221527
1715869391.292516,79,-0.002460712334141135
1715869395.3990784,80,-0.0026670198421925306
1715869399.7199972,81,-0.003017676528543234
1715869403.7807827,82,-0.0023958070669323206
1715869407.929597,83,-0.003142485162243247
1715869412.0133772,84,-0.003580471035093069
1715869416.123973,85,-0.0031464677304029465
1715869420.212702,86,-0.003490353701636195
1715869424.3126726,87,-0.003935448359698057
1715869428.666633,88,-0.0027428707107901573
1715869432.791106,89,-0.0037598772905766964
1715869436.856639,90,-0.003255198709666729
1715869440.982101,91,-0.0019487068057060242
1715869445.061594,92,-0.0033879445400089025
1715869449.1687057,93,-0.0034467352088540792
1715869453.2284505,94,-0.002736660186201334
1715869457.5598366,95,-0.002364520449191332
1715869461.7628667,96,-0.0018524045590311289
1715869465.8640015,97,-0.002265172079205513
1715869469.953976,98,-0.0022802092134952545
1715869474.097113,99,-0.0019918198231607676
1715869478.2082882,100,-0.0019510749261826277
1715869482.3172257,101,-0.0019985311664640903
1715869486.4751205,102,-0.0027800051029771566
1715869490.705639,103,-0.003416936844587326
1715869494.7971048,104,-0.0027622240595519543
1715869498.8401666,105,-0.0028206920251250267
1715869502.9238281,106,-0.0023134241346269846
1715869507.00273,107,-0.002688213251531124
1715869511.140475,108,-0.0043697478249669075
1715869515.2187173,109,-0.002878404688090086
1715869519.525947,110,-0.003114124294370413
1715869523.611135,111,-0.0033337825443595648
1715869527.7834907,112,-0.0028912872076034546
1715869531.9124506,113,-0.0031052406411617994
1715869536.0023494,114,-0.00314830313436687
1715869540.0162156,115,-0.00471518374979496
1715869544.114634,116,-0.0025132298469543457
1715869548.3953376,117,-0.00227791047655046
1715869552.439835,118,-0.0025243600830435753
1715869556.4973779,119,-0.0027940054424107075
1715869560.5936525,120,-0.002921230858191848
1715869564.6719809,121,-0.0032758470624685287
1715869568.7486072,122,-0.002431560307741165
