Wall time,Step,Value
1715880192.2721646,0,-0.0018799923127517104
1715880197.5350835,1,-0.00429889652878046
1715880202.3437989,2,-0.005504926200956106
1715880207.2213986,3,-0.007664227858185768
1715880211.7142997,4,-0.008052576333284378
1715880216.038654,5,-0.00839904323220253
1715880220.3599443,6,-0.008946027606725693
1715880224.687649,7,-0.007807577960193157
1715880229.1224177,8,-0.006546353921294212
1715880233.5615997,9,-0.005948353558778763
1715880238.1556134,10,-0.007267307490110397
1715880242.707168,11,-0.007176528684794903
1715880247.1845632,12,-0.006510576233267784
1715880251.6246264,13,-0.006132782902568579
1715880256.008433,14,-0.00755870109423995
1715880260.409709,15,-0.0060777366161346436
1715880264.924408,16,-0.00669481884688139
1715880269.6513064,17,-0.007012146525084972
1715880274.0507274,18,-0.0069411443546414375
1715880278.4611921,19,-0.007039487361907959
1715880282.877555,20,-0.00665230443701148
1715880287.2648115,21,-0.007490541785955429
1715880291.5993216,22,-0.008946909569203854
1715880295.9685595,23,-0.00895611010491848
1715880300.6468124,24,-0.008437087759375572
1715880304.9985452,25,-0.009911037981510162
1715880309.386642,26,-0.00960327684879303
1715880313.8603005,27,-0.007717948406934738
1715880318.5334132,28,-0.008959535509347916
1715880323.4904232,29,-0.009421927854418755
1715880328.2368379,30,-0.009162410162389278
1715880332.7832782,31,-0.009532704018056393
1715880337.5751667,32,-0.010181665420532227
1715880342.3948152,33,-0.009331327863037586
1715880347.0057766,34,-0.010624535381793976
1715880351.6689022,35,-0.00925507489591837
1715880356.0431275,36,-0.010381407104432583
1715880360.846483,37,-0.008637272752821445
1715880365.30071,38,-0.01393735222518444
1715880369.792582,39,-0.013862512074410915
1715880374.2852516,40,-0.016755875200033188
1715880378.8915877,41,-0.01241556741297245
1715880383.3912373,42,-0.01106683723628521
1715880387.884633,43,-0.012894121930003166
1715880392.4975562,44,-0.013697519898414612
1715880397.1701145,45,-0.011613252572715282
1715880401.8860328,46,-0.019265979528427124
1715880406.5751238,47,-0.011316776275634766
1715880411.2026422,48,-0.021695291623473167
1715880415.885504,49,-0.01928311586380005
1715880420.6253762,50,-0.01183563657104969
1715880425.1251605,51,-0.011920446529984474
1715880429.6186924,52,-0.01608918234705925
1715880434.079257,53,-0.015282673761248589
1715880438.587004,54,-0.013406204991042614
1715880443.0346425,55,-0.01119210384786129
1715880447.3993328,56,-0.01905624382197857
1715880451.8208563,57,-0.011598415672779083
1715880456.299708,58,-0.012525895610451698
1715880460.731951,59,-0.010731174610555172
1715880465.101883,60,-0.013793799094855785
1715880469.416944,61,-0.011305131018161774
1715880473.8849754,62,-0.017264079302549362
1715880478.2597094,63,-0.014603990130126476
1715880482.640296,64,-0.01672912947833538
1715880487.019721,65,-0.014453023672103882
1715880491.3798711,66,-0.017430506646633148
1715880495.7774112,67,-0.013459043577313423
1715880500.1870954,68,-0.01576155051589012
1715880504.5180793,69,-0.012906096875667572
1715880508.9400814,70,-0.018594149500131607
1715880513.3382914,71,-0.013634288683533669
1715880517.7172964,72,-0.015493138693273067
1715880522.0709896,73,-0.013175569474697113
1715880526.4957333,74,-0.01541266031563282
1715880530.8831642,75,-0.017035137861967087
1715880535.2770681,76,-0.014150269329547882
1715880539.6442626,77,-0.017654376104474068
1715880544.1155403,78,-0.01256214827299118
1715880548.5412512,79,-0.01626567356288433
1715880552.8890529,80,-0.01981443166732788
1715880557.2552016,81,-0.015960659831762314
1715880561.6148813,82,-0.013743951916694641
1715880566.0551586,83,-0.012713201344013214
1715880570.4243555,84,-0.012836798094213009
1715880574.792439,85,-0.015261247754096985
1715880579.1336844,86,-0.017079100012779236
1715880583.5330815,87,-0.01714404486119747
1715880587.9632676,88,-0.02172417938709259
1715880592.4322538,89,-0.013993369415402412
1715880596.8679013,90,-0.018090397119522095
1715880601.279909,91,-0.013324016705155373
1715880605.6644933,92,-0.013147428631782532
1715880610.0171475,93,-0.01442360132932663
1715880614.325384,94,-0.01140690129250288
1715880618.748876,95,-0.01902930997312069
1715880623.1535869,96,-0.016023777425289154
1715880627.5383415,97,-0.019325049594044685
1715880631.8934338,98,-0.01407382171601057
1715880636.2685914,99,-0.012108080089092255
1715880640.6516614,100,-0.024152271449565887
1715880645.0691402,101,-0.013040570542216301
1715880649.4425008,102,-0.012879734858870506
1715880653.9176164,103,-0.023335620760917664
1715880658.3062904,104,-0.014946463517844677
1715880662.756517,105,-0.019263561815023422
1715880667.1419802,106,-0.012074330821633339
1715880671.557877,107,-0.020386284217238426
1715880676.0196471,108,-0.026904836297035217
1715880680.5099812,109,-0.026856383308768272
1715880685.0854497,110,-0.02504020929336548
1715880689.6182072,111,-0.019586551934480667
1715880694.0957417,112,-0.01708914153277874
1715880698.7158601,113,-0.016093507409095764
1715880703.2098317,114,-0.024812068790197372
1715880707.7228007,115,-0.020242568105459213
1715880712.404351,116,-0.018553726375102997
1715880716.89369,117,-0.016881300136446953
1715880721.2515802,118,-0.02869391441345215
1715880725.786303,119,-0.021272582933306694
1715880730.2408028,120,-0.014371520839631557
1715880734.6908379,121,-0.030101682990789413
1715880739.2641103,122,-0.01841292902827263
1715880743.641279,123,-0.021929655224084854
1715880748.1309278,124,-0.021372761577367783
1715880752.6404505,125,-0.023205135017633438
1715880757.163382,126,-0.030912239104509354
1715880761.6395035,127,-0.03550027683377266
1715880766.2263212,128,-0.020956747233867645
1715880770.7957034,129,-0.03346880525350571
1715880775.2932549,130,-0.0201862882822752
1715880779.7698328,131,-0.01457609049975872
1715880784.318106,132,-0.03419143706560135
1715880788.8010943,133,-0.021917982026934624
1715880793.1029139,134,-0.027915140613913536
1715880797.5154378,135,-0.018447697162628174
1715880801.93138,136,-0.03368721157312393
1715880806.4814043,137,-0.029499193653464317
1715880810.8485448,138,-0.012921321205794811
1715880815.2570305,139,-0.01498112641274929
1715880819.626518,140,-0.023085780441761017
1715880824.012144,141,-0.02056170254945755
1715880828.4632878,142,-0.04361357539892197
1715880832.8633578,143,-0.023141037672758102
1715880837.2990384,144,-0.031854622066020966
1715880841.780282,145,-0.02614510804414749
1715880846.2115679,146,-0.030176833271980286
1715880850.5483534,147,-0.013153563253581524
1715880854.936764,148,-0.02472991868853569
1715880859.257079,149,-0.018604105338454247
1715880863.568133,150,-0.026672326028347015
1715880867.873004,151,-0.03635463863611221
1715880872.2807796,152,-0.03988146781921387
1715880876.6708362,153,-0.03711187466979027
1715880880.9727232,154,-0.02900337241590023
1715880885.3521178,155,-0.0428495854139328
1715880889.7626188,156,-0.02240655943751335
1715880894.0792708,157,-0.025876279920339584
1715880898.4862847,158,-0.030723076313734055
1715880902.9181511,159,-0.03090360388159752
1715880907.3454905,160,-0.018694322556257248
1715880911.7666826,161,-0.017065297812223434
1715880916.2358909,162,-0.02195308357477188
1715880920.6209962,163,-0.028458451852202415
1715880925.026492,164,-0.023233335465192795
1715880929.4113328,165,-0.023755064234137535
1715880933.85381,166,-0.02755752205848694
1715880938.2307668,167,-0.023046549409627914
1715880942.6282413,168,-0.03329247236251831
1715880947.0536494,169,-0.03472748398780823
1715880951.5133955,170,-0.018173035234212875
1715880955.8387132,171,-0.02498186193406582
1715880960.2131085,172,-0.01570703834295273
1715880964.6379902,173,-0.024726778268814087
1715880969.1368287,174,-0.031884949654340744
1715880973.5452113,175,-0.03308161348104477
1715880977.9107528,176,-0.022548964247107506
1715880982.3175416,177,-0.025810927152633667
1715880986.7441843,178,-0.03086863085627556
1715880991.137812,179,-0.02915499173104763
1715880995.5530558,180,-0.019322019070386887
1715880999.9634626,181,-0.06796550005674362
1715881004.2609704,182,-0.05775715410709381
1715881008.6293268,183,-0.034438520669937134
1715881012.9001133,184,-0.009938191622495651
1715881017.3034601,185,-0.03606981411576271
1715881021.7187245,186,-0.025280317291617393
1715881026.17855,187,-0.021397627890110016
1715881030.4955986,188,-0.021421698853373528
1715881034.8496583,189,-0.022676952183246613
1715881039.2081904,190,-0.03539823368191719
1715881043.583569,191,-0.03881524130702019
1715881047.9683414,192,-0.023448897525668144
1715881052.2658243,193,-0.026799697428941727
1715881056.6349957,194,-0.046639055013656616
1715881061.071028,195,-0.021448886021971703
1715881065.4918175,196,-0.018538542091846466
1715881069.855619,197,-0.021101340651512146
1715881074.3039572,198,-0.027271699160337448
1715881078.7500017,199,-0.02710793726146221
1715881083.201234,200,-0.020101487636566162
1715881087.6951153,201,-0.019272208213806152
1715881092.0435634,202,-0.0289749912917614
1715881096.548722,203,-0.04022304713726044
1715881100.9815822,204,-0.04977124556899071
1715881105.4554148,205,-0.029045522212982178
1715881109.8990326,206,-0.018225286155939102
1715881114.3256774,207,-0.023266246542334557
1715881118.7659893,208,-0.043319180607795715
1715881123.1859255,209,-0.02897111140191555
1715881127.6085863,210,-0.019574973732233047
1715881131.9980724,211,-0.013008050620555878
1715881136.4387321,212,-0.018596217036247253
1715881140.7651067,213,-0.045597970485687256
1715881145.1709297,214,-0.03791841119527817
1715881149.5383494,215,-0.04442734643816948
1715881153.9773626,216,-0.01674555614590645
1715881158.4417138,217,-0.04865291714668274
1715881162.851183,218,-0.0227960254997015
1715881167.2269897,219,-0.03863614425063133
1715881171.6663315,220,-0.03949928283691406
1715881176.0665917,221,-0.03577759861946106
1715881180.5375304,222,-0.04374612495303154
1715881184.9402895,223,-0.02467711828649044
1715881189.3276827,224,-0.019024260342121124
1715881193.6785526,225,-0.050448305904865265
1715881198.046345,226,-0.03810921311378479
1715881202.4750993,227,-0.026599105447530746
1715881206.950543,228,-0.0320417545735836
1715881211.3354015,229,-0.027261361479759216
1715881215.7595682,230,-0.044280558824539185
1715881220.144313,231,-0.03710288181900978
1715881224.5313857,232,-0.028569495305418968
1715881228.9764953,233,-0.026580138131976128
1715881233.3892438,234,-0.015129059553146362
1715881237.731962,235,-0.03834899514913559
1715881242.172932,236,-0.027824442833662033
1715881246.5985496,237,-0.015211171470582485
1715881250.9846206,238,-0.023608345538377762
1715881255.3651004,239,-0.017153752967715263
1715881259.755611,240,-0.03572484850883484
1715881264.1838675,241,-0.024551695212721825
1715881268.5449166,242,-0.030424833297729492
1715881272.8757524,243,-0.05077275633811951
1715881277.2511554,244,-0.038876064121723175
1715881281.7065609,245,-0.04064147546887398
1715881285.940908,246,-0.029909079894423485
1715881290.2297676,247,-0.02745787799358368
1715881294.523484,248,-0.060186441987752914
1715881298.9343412,249,-0.04020911455154419
1715881303.2100713,250,-0.025904212146997452
1715881307.5268433,251,-0.01860380917787552
1715881311.8412936,252,-0.024027835577726364
1715881316.1855962,253,-0.06984181702136993
1715881320.5546749,254,-0.03418789058923721
1715881324.883338,255,-0.07344868034124374
1715881329.2002895,256,-0.020807918161153793
1715881333.474558,257,-0.02048400789499283
1715881337.8431,258,-0.05291537940502167
1715881342.158525,259,-0.030570656061172485
1715881346.4322035,260,-0.04473304748535156
1715881350.6634,261,-0.025415971875190735
1715881354.957002,262,-0.03348895162343979
1715881359.207289,263,-0.023901155218482018
1715881363.4457707,264,-0.08789421617984772
1715881367.7402318,265,-0.04088796675205231
1715881372.2201247,266,-0.020813724026083946
1715881376.5891595,267,-0.03525400534272194
1715881380.956698,268,-0.10592295974493027
1715881385.3801942,269,-0.029893040657043457
1715881389.8812826,270,-0.05891993269324303
1715881394.2898757,271,-0.04801467806100845
1715881398.6043286,272,-0.038978416472673416
1715881402.9655592,273,-0.10189139097929001
1715881407.3332565,274,-0.043557099997997284
1715881411.621902,275,-0.06955161690711975
1715881415.910776,276,-0.08263593912124634
1715881420.2184544,277,-0.06241617724299431
1715881424.5654645,278,-0.04320155829191208
1715881428.8931355,279,-0.03281841427087784
1715881433.193001,280,-0.016416318714618683
1715881437.522337,281,-0.07694778591394424
1715881441.876409,282,-0.05272796005010605
1715881446.180911,283,-0.02051958441734314
1715881450.4966362,284,-0.044455476105213165
1715881454.8185368,285,-0.034494660794734955
1715881459.053563,286,-0.028837773948907852
1715881463.3801887,287,-0.0845952033996582
1715881467.6157322,288,-0.06482888013124466
1715881471.9062057,289,-0.04270124062895775
1715881476.0826898,290,-0.07003620266914368
1715881480.3642983,291,-0.05124198645353317
1715881484.6294518,292,-0.06180789694190025
1715881488.9914067,293,-0.07747151702642441
1715881493.295091,294,-0.06344525516033173
1715881497.6219883,295,-0.05155753344297409
1715881501.8915243,296,-0.03799709677696228
1715881506.2265103,297,-0.038411639630794525
1715881510.5330334,298,-0.04012304171919823
1715881514.961842,299,-0.05083867534995079
1715881519.243805,300,-0.07774772495031357
1715881523.566474,301,-0.03617119789123535
1715881527.8405933,302,-0.04460795968770981
1715881532.1664188,303,-0.03945475444197655
1715881536.4619582,304,-0.04875980317592621
1715881540.7566292,305,-0.035630688071250916
1715881545.0080316,306,-0.027844984084367752
1715881549.323508,307,-0.05061953887343407
1715881553.5981185,308,-0.03783239424228668
1715881557.9153962,309,-0.04903858155012131
1715881562.2032416,310,-0.04618106409907341
1715881566.4854298,311,-0.03262539952993393
1715881570.792519,312,-0.05567287653684616
1715881575.0457351,313,-0.0248674638569355
1715881579.2583435,314,-0.030756792053580284
1715881583.4823484,315,-0.03287757560610771
1715881587.7987974,316,-0.06794428825378418
1715881592.095148,317,-0.027194395661354065
1715881596.3518853,318,-0.06031711399555206
1715881600.5757587,319,-0.06591863930225372
1715881604.9343553,320,-0.04983445256948471
1715881609.2322297,321,-0.07262422889471054
1715881613.5298915,322,-0.053252212703228
1715881617.8113768,323,-0.04376254603266716
1715881622.117199,324,-0.03886358439922333
1715881626.4482045,325,-0.06359094381332397
1715881630.7582607,326,-0.04652809724211693
1715881635.0321507,327,-0.041201308369636536
1715881639.330595,328,-0.06038009747862816
1715881643.5959263,329,-0.0569789782166481
1715881647.9255657,330,-0.042335785925388336
1715881652.2080922,331,-0.026556842029094696
1715881656.5056303,332,-0.08977895975112915
1715881660.8334284,333,-0.0373002253472805
1715881665.0844698,334,-0.06700126081705093
1715881669.3374505,335,-0.02760438621044159
1715881673.6627343,336,-0.03282526135444641
1715881678.015145,337,-0.07364250719547272
1715881682.3027086,338,-0.06910913437604904
1715881686.585103,339,-0.05132010206580162
1715881690.887501,340,-0.07302527874708176
1715881695.1965642,341,-0.04192444682121277
1715881699.4354522,342,-0.03064732998609543
1715881703.7603934,343,-0.03352745622396469
1715881708.025019,344,-0.0667518600821495
1715881712.311934,345,-0.0517895445227623
1715881716.5522778,346,-0.07956094294786453
1715881720.8214793,347,-0.07220189273357391
1715881725.0759456,348,-0.05954916402697563
1715881729.4121652,349,-0.02308487519621849
1715881733.633525,350,-0.036614447832107544
1715881737.868406,351,-0.05169431492686272
1715881742.0856647,352,-0.015126405283808708
1715881746.3290367,353,-0.07078799605369568
1715881750.5978518,354,-0.06525008380413055
1715881754.8913116,355,-0.06536263972520828
1715881759.075042,356,-0.03284553438425064
1715881763.3399315,357,-0.05490780994296074
1715881767.5847645,358,-0.02388857677578926
1715881771.8672218,359,-0.08478733152151108
1715881776.1697853,360,-0.037968866527080536
1715881780.423387,361,-0.059926267713308334
1715881784.6977453,362,-0.045696012675762177
1715881788.9597535,363,-0.04770534858107567
1715881793.2354615,364,-0.06710417568683624
1715881797.4064114,365,-0.02700236067175865
